stock name,last traded price,haircut percentage,post haircut value
LXCHEM,172.04,0.2,137632.0
LIQUIDPLUS,1027.49,0.05,976115.5
TEJASNET,860.8,0.2245,667550.4
MANAPPURAM,226.03,0.2,180824.0
SAILIFE,771.05,0.2,616840.0
STLTECH,83.96,0.2,67167.99999999999
LIQUIDADD,1067.51,0.05,1014134.4999999999
MAFANG,115.51,0.2,92408.00000000001
TCS,3248.2,0.09,2955862.0
EIDPARRY,842.4,0.2,673920.0000000001
LLOYDSME,1238.4,0.2,990720.0000000001
HUDCO,219.14,0.2231,170249.866
SGBFEB28IX,8688.0,0.1,7819200.0
POWERMECH,2729.5,0.2022,2177595.1
ADANIGREEN,936.65,0.23989999999999997,711947.665
NETWEB,1509.2,0.2151,1184571.0799999998
IDFCFIRSTB,61.93,0.2,49544.00000000001
AWFIS,648.5,0.2,518800.00000000006
BAJAJ-AUTO,7995.5,0.1117,7102402.65
WELENT,505.6,0.2,404480.0
PRICOLLTD,443.25,0.2,354600.0
JKLAKSHMI,828.7,0.2,662960.0
PRSMJOHNSN,134.32,0.2,107456.0
CIGNITITEC,1195.6,0.2,956480.0
GRAVITA,1936.8,0.2441,1464027.1199999999
BHEL,221.8,0.2,177440.00000000003
USHAMART,313.2,0.2,250560.0
BOSCHLTD,27090.0,0.2,21672000.0
BIKAJI,715.4,0.2,572320.0
RATEGAIN,461.15,0.2,368920.0
DABUR,473.75,0.2,379000.0
CHENNPETRO,619.45,0.207,491223.8500000001
EQUITASBNK,58.2,0.2,46560.0
JBMA,625.05,0.2165,489726.67499999993
KRBL,292.8,0.2,234240.0
SENCO,338.6,0.2181,264751.34
NIFTYBEES,260.87,0.06,245217.8
CPSEETF,87.39,0.2,69912.0
KEI,2736.4,0.20489999999999997,2175711.64
ARKADE,163.6,0.2,130880.0
JUBLFOOD,701.0,0.2,560800.0000000001
SBILIFE,1562.6,0.0951,1413996.74
SOLARINDS,11945.0,0.2,9556000.0
PARAGMILK,182.5,0.2,146000.0
ZEEL,107.95,0.21719999999999998,84503.26000000001
SONATSOFTW,333.4,0.2,266719.99999999994
CCL,614.25,0.2,491400.00000000006
OFSS,7796.0,0.2,6236800.0
HEMIPROP,127.41,0.2,101928.0
CUMMINSIND,2920.7,0.2,2336560.0
AJAXENGG,626.9,0.2,501520.0
SGBDE31III,8906.21,0.1,8015588.999999999
NBCC,89.77,0.2116,70774.66799999999
CAMS,3832.9,0.2,3066320.0
INDIGOPNTS,1001.7,0.2,801360.0000000001
SGBOC28VII,8823.31,0.1,7940978.999999999
NAZARA,962.35,0.2,769880.0000000001
STYRENIX,2745.6,0.2,2196480.0
MPHASIS,2269.7,0.2,1815760.0
JUBLINGREA,666.65,0.2,533320.0
SGBAUG30,8855.9,0.1,7970309.999999999
BBTC,1855.8,0.2,1484640.0
NIFTYETF,249.13,0.06,234182.19999999998
BAYERCROP,4798.4,0.2,3838720.0
HFCL,82.52,0.21600000000000003,64695.67999999999
CRISIL,4358.5,0.2,3486800.0
POWERGRID,304.55,0.1121,270409.945
GESHIP,880.1,0.2,704080.0
APOLLOTYRE,439.1,0.2,351280.00000000006
CELLO,545.35,0.2,436280.00000000006
ANANDRATHI,1773.9,0.2,1419120.0000000002
SGBDEC2512,9168.0,0.1,8251200.000000001
EMUDHRA,867.95,0.2,694360.0000000001
SUNTV,685.95,0.2,548760.0000000001
SGBFEB32IV,9029.57,0.1,8126613.0
ITDCEM,532.45,0.2,425960.00000000006
KIRIINDUS,639.5,0.2157,501559.85
RHIM,489.05,0.2,391240.0
ROUTE,980.4,0.2,784320.0
BAJAJHIND,19.12,0.2186,14940.368
AGI,788.45,0.2267,609708.385
BRIGADE,972.65,0.2,778120.0
GULFOILLUB,1170.4,0.2,936320.0000000001
NH,1735.6,0.2,1388480.0
SGBMR29XII,8751.31,0.1,7876179.0
IKS,1416.3,0.2,1133040.0
GILT5YBEES,61.11,0.1,54999.0
GOLDIETF,80.07,0.2,64056.0
ASTRAMICRO,749.15,0.2,599320.0
KIRLOSBROS,1653.2,0.2302,1272633.36
NESTLEIND,2367.9,0.09,2154789.0
UNIONBANK,122.4,0.2,97920.00000000001
PRUDENT,2223.2,0.2407,1688075.7599999998
MOTHERSON,127.63,0.2,102104.0
NAVA,490.65,0.213,386141.55
ERIS,1381.8,0.2,1105440.0
EIHOTEL,369.25,0.2,295400.00000000006
TITAGARH,790.15,0.2155,619872.6749999999
CHOLAHLDNG,1813.6,0.2,1450880.0
DEVYANI,163.71,0.2,130968.00000000001
EPIGRAL,1835.7,0.2173,1436802.3900000001
SKFINDIA,3870.2,0.2,3096160.0
SGBJUN31I,8876.86,0.1,7989174.000000001
TATAGOLD,9.15,0.2,7320.0
METROBRAND,1093.2,0.2,874560.0000000001
TORNTPOWER,1623.6,0.2,1298880.0
IRCON,158.31,0.2332,121392.10800000001
POONAWALLA,382.25,0.2,305800.0
LEMONTREE,142.26,0.2,113808.0
JINDALSTEL,845.15,0.2,676120.0
360ONE,938.7,0.2,750960.0
BLS,386.05,0.207,306137.65
INDIAMART,2134.9,0.2,1707920.0
VGUARD,363.9,0.2,291120.0
QUESS,298.2,1.0,0.0
MANYAVAR,791.75,0.2,633400.0000000001
DYNAMATECH,6424.5,0.2,5139600.0
CESC,156.98,0.2,125584.0
SJS,919.6,0.2,735680.0000000001
VENKEYS,1692.4,0.2,1353920.0
ADANIPOWER,542.2,0.20170000000000002,432838.26000000007
OLAELEC,50.27,0.2006,40185.838
LUXIND,1435.5,0.2,1148400.0
GSFC,185.94,0.2,148752.0
COALINDIA,395.25,0.1184,348452.39999999997
SUNTECK,394.55,0.2,315640.00000000006
MEDANTA,1275.4,0.2,1020320.0000000001
AEGISLOG,766.05,0.2386,583270.47
GLAXO,2878.2,0.2,2302560.0
VSTIND,289.15,0.2,231320.0
ASAHIINDIA,672.15,0.2,537720.0
PFC,425.55,0.2,340440.00000000006
CRAFTSMAN,4609.1,0.2,3687280.0000000005
QUADFUTURE,521.85,0.2529,389874.135
LIQUIDSBI,1000.0,0.05,950000.0
SGBFEB29XI,8750.01,0.1,7875009.0
KCP,207.62,0.2,166096.0
SGBJAN27,8800.0,0.1,7920000.0
SAPPHIRE,307.85,0.2,246280.00000000003
SHYAMMETL,875.5,0.2,700400.0000000001
INOXWIND,161.33,0.24050000000000002,122530.135
CROMPTON,335.6,0.2,268480.0
AUTOIETF,21.67,0.2,17336.000000000004
JPPOWER,15.26,0.2043,12142.382
HEG,474.6,0.2054,377117.16000000003
EBBETF0433,1222.02,0.2,977616.0
SETFNIFBK,532.01,0.2,425608.0
WELCORP,776.9,0.2,621520.0
HDFCGOLD,80.26,0.2,64208.000000000015
CAMPUS,234.75,0.2,187800.0
AMIORG,2352.2,0.2069,1865529.82
FIRSTCRY,338.45,0.2,270760.0
TECHNOE,1024.2,0.2139,805123.6200000001
JSL,557.8,0.2,446240.0
SGBFEB27,8753.01,0.1,7877709.000000001
GREAVESCOT,191.81,0.2296,147770.424
MOL,74.0,0.2,59200.0
EASEMYTRIP,13.33,0.2,10664.000000000002
ELECON,463.15,0.218,362183.3
MTARTECH,1371.0,0.2,1096800.0
KPIL,938.9,0.2,751120.0
AARTIIND,398.35,0.2,318680.00000000006
NETWORK18,43.76,0.20370000000000002,34846.088
VOLTAMP,7292.5,0.22469999999999998,5653875.25
IRCTC,754.5,0.2,603600.0
BANKIETF,53.31,0.2,42648.0
FACT,672.45,0.23420000000000002,514962.21
NUVAMA,5705.5,0.2003,4562688.35
RKFORGE,760.25,0.2,608200.0
UNIMECH,995.05,0.2,796040.0
SGBJAN29X,8730.89,0.1,7857800.999999999
GNFC,491.25,0.2,393000.0
ETHOSLTD,2642.4,0.2,2113920.0
KPITTECH,1151.8,0.2,921440.0
DCMSHRIRAM,1058.4,0.2,846720.0000000001
LTTS,4354.0,0.2,3483200.0000000005
GRAPHITE,468.45,0.2,374760.0
MAXHEALTH,1074.1,0.2,859280.0
GODREJAGRO,778.1,0.2,622480.0
JKIL,711.2,0.2,568960.0
IDEA,7.32,0.2546,5456.328000000001
SJVN,94.11,0.2,75288.0
AIAENG,3174.0,0.2,2539200.0000000005
ALLCARGO,28.59,0.2,22872.0
RITES,232.01,0.2,185608.0
EPL,190.27,0.2,152216.0
MARICO,711.85,0.2,569480.0
GRANULES,464.4,0.2,371520.0
ICICIBANK,1350.2,0.09,1228682.0
AXITA,10.01,0.2,8008.000000000001
HDFCSML250,153.13,0.07919999999999999,141002.104
ZENTEC,1495.8,0.24739999999999998,1125739.08
ASIANPAINT,2415.7,0.09,2198287.0
RIIL,823.45,0.2,658760.0000000001
BALMLAWRIE,189.68,0.2,151744.0
CASTROLIND,203.9,0.2,163120.0
IRB,46.3,0.2,37040.0
